,0
Attack_bin,1.0
count,0.8533992113503239
diff_srv_rate,0.481578832180928
dst_bytes,-0.2934204746671822
dst_host_count,0.536981204540973
dst_host_diff_srv_rate,0.5621560690962721
dst_host_rerror_rate,0.21841754866867077
dst_host_same_src_port_rate,-0.1233269983870593
dst_host_same_srv_rate,-0.9029200956441762
dst_host_serror_rate,0.8872627684913588
dst_host_srv_count,-0.8541540845783792
dst_host_srv_diff_host_rate,-0.3475389531657865
dst_host_srv_rerror_rate,0.22072446655055447
dst_host_srv_serror_rate,0.8884922584975886
duration,-0.08241505671468603
flag,0.9521332146906977
hot,
is_guest_login,
is_host_login,
land,
logged_in,-0.8521640465150876
num_access_files,
num_compromised,
num_failed_logins,
num_file_creations,
num_outbound_cmds,
num_root,
num_shells,
protocol_type,-0.0745356318395705
rerror_rate,0.22272658886342694
root_shell,
same_srv_rate,-0.9659416573317914
serror_rate,0.8868220251060693
service,0.7228012410876661
src_bytes,-0.2299804654012377
srv_count,-0.029010726587599078
srv_diff_host_rate,-0.2624554693864449
srv_error_rate,0.8874111493565857
srv_rerror_rate,0.21962184262824394
su_attempted,
urgent,
wrong_fragment,
